scats_number,location,latitude,longitude,n_days,mean_daily_volume
970,HIGH STREET_RD E of WARRIGAL_RD,-37.86735,145.09195,31,9554.94
970,HIGH STREET_RD W of WARRIGAL_RD,-37.86723,145.09103,30,11073.27
970,WARRIGAL_RD N of HIGH STREET_RD,-37.86703,145.09159,31,18129.68
970,WARRIGAL_RD S of HIGH STREET_RD,-37.8676,145.09146,31,17693.52
2000,BURWOOD_HWY E of WARRIGAL_RD,-37.85193,145.09463,29,15181.76
2000,TOORAK_RD W of WARRIGAL_RD,-37.85187,145.09407,29,13895.97
2000,WARRIGAL_RD N of TOORAK_RD,-37.8516827,145.0943457,28,13057.79
2000,WARRIGAL_RD S of BURWOOD_HWY,-37.85221,145.09425,28,18158.68
2200,MAROONDAH_HWY E of UNION_RD,-37.81655,145.09831,31,8537.03
2200,MAROONDAH_HWY W of UNION_RD,-37.8164799,145.0977388,31,8942.32
2200,UNION_RD N of MAROONDAH_HWY,-37.81631,145.09812,31,7013.77
2200,UNION_RD S of MAROONDAH_HWY,-37.81682,145.09802,31,7234.39
2820,EARL_ST SE of PRINCESS_ST,-37.79477,145.03077,31,7421.06
2820,PRINCESS_ST S of CHANDLER_HWY,-37.7948,145.03015,30,14449.9
2825,BURKE_RD S of EASTERN_FWY,-37.78661,145.06202,31,13901.87
2827,BULLEEN_RD N of THOMPSONS_RD,-37.78093,145.07733,31,16488.84
2827,BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,-37.78267,145.07729,31,7977.48
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,-37.7820873,145.0778256,31,12176.71
2827,OFFRAMP_EASTERN_FWY W of BULLEEN_RD,-37.78127,145.07688,31,9797.58
2846,HIGH_ST E OF S.E.ARTERIAL,-37.86152,145.05851,31,11556.55
2846,HIGH_ST W OF WILLS_ST,-37.86155,145.05751,31,9778.84
2846,S.E.ARTERIAL N OF HIGH_ST,-37.8612671,145.058038,31,5308.68
2846,WILLS_ST NW OF HIGH_ST,-37.86088,145.05744,31,721.61
3001,BARKERS_RD E of HIGH_ST,-37.81469,145.02261,31,12198.03
3001,BARKERS_RD W of CHURCH_ST,-37.81457,145.02161,31,18410.97
3001,CHURCH_ST SW of BARKERS_RD,-37.81495,145.0219,2,6808.0
3001,HIGH_ST NE of BARKERS_RD,-37.81441,145.02243,31,10638.9
3002,BARKERS_RD E of DENMARK_ST,-37.81521,145.02706,26,11727.92
3002,BARKERS_RD W of DENMARK_ST,-37.8151,145.02608,26,10406.35
